Abu-Dhabi 86.46 65.8
 candy ***Addis-Ababa 55.36 78.65
 candy ***Algiers 48.28 87.8
 candy ***Amman 56.18 70.37
 candy ***Amsterdam 63.89 49.40
 candy ***Ankara 56.38 85.45
 candy ***Athens 50.01 86.98
 candy ***Baghdad 42 78.87
 candy ***Baku 73.31 93.78
 candy ***Bangkok 51.61 76.68
 candy ***Beijing 61.79 82.02
 candy ***Beirut 50.61 66.29
 candy ***Belgrade 61.7 86.78
 candy ***Berlin 57.88 62.14
 candy ***Bern 81.53 11.59
 candy ***Bogota 37.32 89.45
 candy ***Brasilia 34.65 75.08
 candy ***Bratislava 68.84 78.12
 candy ***Brussels 47.04 53.85 
 candy ***Bucharest 71.82 86.17
 candy ***Budapest 61.11 81.08
 candy ***Buenos-Aires 36.97 72.94
 candy ***Cairo 42.53 99.04 
 candy ***Canberra 77.24 53.75
 candy ***Caracas 17.64 90.6
 candy ***Copenhagen 78.73 42.28
 candy ***Damascus 32.96 96.23
 candy ***Dhaka 30.37 90.75
 candy ***Doha 84.13 64.10
 candy ***Dublin 48.02 49.20
 candy ***Hanoi 50.14 84.18
 candy ***Harare 48.02 76.38
 candy ***Helsinki 75.36 50.21
 candy ***Hong Kong 79.93 56.61
 candy ***Islamabad 60.87 92.75
 candy ***Jakarta 46.76 80.44
 candy ***Kathmandu 65.64 92.08
 candy ***Kiev 50.79 94.97
 candy ***Kingston 31.58 64.6
 candy ***Kuala-Lumpur 31.31 82.66
 candy ***Kuwait 67.53 67.10
 candy ***Lima 28.55 83.03 
 candy ***Lisbon 67.41 75.24
 candy ***Ljubljana 75.29 68.49
 candy ***London 52.93 62.11
 candy ***Luxembourg 73.84 50.05
 candy ***Madrid 69.33 65.94
 candy ***Manama 73.06 71.45
 candy ***Manila 39.69 85.92
 candy ***Mexico-City 34.45 87.38
 candy ***Minsk 76.37 91.11
 candy ***Montevideo 44.04 61.67
 candy ***Moscow 54.79 79.40
 candy ***Muscat 70.39 75.68
 candy ***Nairobi 35.95 84.68 
 candy ***Nicosia 68 67.64
 candy ***Oslo 53.52 28.17
 candy ***Ottawa 76.93 63.07
 candy ***Panama-City 51.17 68.33
 candy ***Paris 46.44 48.01
 candy ***Phnom-Penh 45.68 78.42
 candy ***Prague 71.12 79.30
 candy ***Quito 44.92 80.12
 candy ***Reykjavik 76.85 15.41
 candy ***Riga 61.58 77.67
 candy ***Riyadh 75.85 79.69
 candy ***Rome 44.14 57.12
 candy ***San-Salvador 26.54 79.04
 candy ***Santo-Domingo 31.44 76.66
 candy ***Sarajevo 53.57 86.48
 candy ***Seoul 71.66 51.28
 candy ***Singapore 83.1 49.54
 candy ***Skopje 54.12 90.13
 candy ***Sofia 54.91 86.59
 candy ***Stockholm 51.49 47.03
 candy ***Taipei 82.62 62.87
 candy ***Tallinn 78.63 74.03
 candy ***Tbilisi 79.63 93.50 
 candy ***Tehran 45.53 85.86
 candy ***Tirana 57.51 89.08
 candy ***Tokyo 80.62 41.83
 candy ***Tripoli 40.31 86.25
 candy ***Tunis 62.94 96.05
 candy ***Ulaanbaatar 35.44 84.03
 candy ***Vienna 78.91 59.21
 candy ***Vilnius 65.96 77.39
 candy ***Warsaw 73.7 82.94
 candy ***Washington 41.94 43.23
 candy ***Wellington 68.92 52.81
 candy ***Windhoek 26.54 81.45
 candy ***Yerevan 69.85 91.14
 candy ***Zagreb 72.36 75.32 candy ***
